ID;Product Name;Brand;Manufacturer;Vendor ;Cat# Manufacturer;Cat# Vendor;Lot#;Expiry Date;Room;Sector;Unit;Capacity;Item Property;Pipetting Device;Item Type;Single Pieces;Units per Box;Boxes in Stock;Total Pieces;Minimum Amount;Inventory Status;Order Status;Who Ordered ;Assigned Project;Order Date ;Notes;Favorites
9;15ul MCA384 Tips, sterile, no filter;;Tecan;Tecan;30051803;30051803;20164000,  OP. 512-1;2020-10;C75;11.2;ul;15;sterile;MCA384;tip box;10;1;1;10;10;in stock;;;;;;
10;15ul MCA384 Tips, sterile, no filter;;Tecan;Tecan;30051803;30051803;20164100,  OP 413-7;2020-10;C75;11.2;ul;15;sterile;MCA384;tip box;10;4;1;40;40;in stock;;;;;;
11;50ul LiHa Tips, pure, no filter, single wrapped;;Tecan;Tecan;30057811;30057811;D154816I-3409;a;C75;11.3;ul;50;pure;LiHa;tip box;2;6;1;12;12;in stock;;;;;;
12;200ul LiHa Tips, pure, no filter, single wrapped;;Tecan;Tecan;30057814;30057814;H176062G;2023-01-28;C75;11.3;ul;200;pure;LiHa;tip box;2;12;1;24;24;in stock;;;;;;
13;200ul LiHa Tips, pure, no filter, single wrapped;;Tecan;Tecan;30057814;30057814;D155559K-3115;2019-05;C75;11.3;ul;200;pure;LiHa;tip box;2;6;1;12;12;in stock;;;;;;
14;200ul MCA96 Wide Bore Tips, pure, no filter;;Tecan;Tecan;30050348;30050348;22120332;2027-03;C75;11.1;ul;200;pure;MCA96;tip box;10;4;1;40;40;in stock;;;Focal Biosciences;;;
15;500ul MCA96 Tips, sterile, filtered;;Tecan;Tecan;30046342;30046342;22170407;2026-04;C75;;ul;500;sterile & filtered;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
16;1000ul LiHa, conductive, sterile, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-CPF-TS-B2;TEC-1000-CPF-TS-B2;970145/1;2026-01;C75;10.1;ul;1000;sterile & filtered;LiHa;tip box;2;12;1;24;24;in stock;;;;;;
17;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;974508/1-1;2025-12;C75;10.5;ul;1000;pure;LiHa;tip box;2;12;4;96;96;in stock;;;;;1 open;
18;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;961587/1;2025-12;C75;11.6;ul;1000;pure;LiHa;tip box;2;12;1;24;24;in stock;;;;;;
19;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;961587/1;2025-12;C75;11.5;ul;1000;pure;LiHa;tip box;2;12;2;48;48;in stock;;;;;;
20;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;961587/1;2025-12;C75;11.4;ul;1000;pure;LiHa;tip box;2;12;3;72;72;in stock;;;;;;
21;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;961587/1;2025-12;C75;10.2;ul;1000;pure;LiHa;tip box;2;12;4;96;96;in stock;;;;;;
22;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;966274/1;2025-11;C75;11.5;ul;1000;pure;LiHa;tip box;2;12;1;24;24;in stock;;;;;open;
23;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;966274/1;2025-11;C75;10.3;ul;1000;pure;LiHa;tip box;2;12;4;96;96;in stock;;;;;;
24;1000ul LiHa, conductive, pure, wide bore, filter, 24 racks in 2er Blister;;LVL;LVL;TEC-1000-WB-CPF-B2;TEC-1000-WB-CPF-B2;966274/1;2025-11;C75;10.4;ul;1000;pure;LiHa;tip box;2;12;4;96;96;in stock;;;;;;
25;1000ul LiHa, conductive, filter;;Tecan;Tecan;30184271;30184271;B1000-2001(1222-1);2023-12-31;C75;11.3;ul;1000;filtered;LiHa;tip box;1;1;1;1;1;in stock;;;;;;
26;12.5 µl, 384w ECO racks, sterile, filtered, low-retention;;Integra;Integra;3815;3815;99024734;;C75;4.1;ul;12.5;sterile & filtered;Hand pipette;tip box;10;0.8;1;8;8;in stock;;;;;open;
27;125 µl, 384w ECO racks, sterile, filtered, low-retention;;Integra;Integra;3825;3825;99026720;;C75;4.1;ul;125;sterile & filtered;Hand pipette;tip box;10;1;1;10;10;in stock;;;;;open;
28;125 µl, 384w ECO racks, sterile, filtered, low-retention;;Integra;Integra;3825;3825;99034855;;C75;4.1;ul;125;sterile & filtered;Hand pipette;tip box;10;1;1;10;10;in stock;;;;;;
29;100ul Universal Barrier Tips;;Neptune;Neptune;BT100;BT100;250775;;C75;7.1;ul;100;pure;Hand pipette;tip box;10;0.3;1;3;3;in stock;;;;;open;
30;100ul-1000ul Tips, filtered;;Axygen;Axygen;TF-1000-R-S;TF-1000-R-S;32324428;;C75;4.1;ul;1000;filtered;Hand pipette;tip box;10;0.7;1;7;7;in stock;;;;;open;
;20ul Biofil Zerotip Pipette Micro Tips, sterile,  filtered, low retention, natural, sterile;;Jet Biofil;Witec; PMT252020; PMT252020;250727-304-F;27.07.2028;C75;7.1;ul;20;sterile & filtered;Hand pipette;tip box;17;1;1;17;10;in stock;;;;;;
31;100ul Biofil Zerotip Pipette Micro Tips, sterile,  filtered, low retention, natural, sterile;;Jet Biofil;Witec; PMT252100; PMT252100;221217-305-D;;C75;7.1;ul;100;sterile & filtered;Hand pipette;tip box;10;2;1;20;10;in stock;;;;;Witec webshop login on bitwarden;
32;200ul Biofil Zerotip Pipette Micro Tips, sterile,  filtered, low retention, natural, sterile;;Jet Biofil;Witec;PMT231200;PMT231200;231121-306-F;;C75;7.1;ul;200;sterile & filtered;Hand pipette;tip box;19;1;1;19;10;in stock;;;;;Witec webshop login on bitwarden;
33;1000ul Biofil Zerotip Pipette Micro Tips, sterile,  filtered, low retention, natural, sterile;;Jet Biofil;Witec;PMT252000;PMT252000;231213-307-F;;C75;7.1;ul;1000;sterile & filtered;Hand pipette;tip box;10;1.5;1;15;10;in stock;;;;;Witec webshop login on bitwarden;
34;10ul Biofil Zerotip Pipette Micro Tips sterile, low retention, natural, with filter, sterile;;Jet Biofil;Witec;PMT252010;PMT252010;250727-294-F;27.07.2028;C75;7.1;ul;10;sterile & filtered;Hand pipette;tip box;16;1;1;16;10;in stock;;;;;Witec webshop login on bitwarden;
35;2-100ul Dualfilter T.I.P.S., sterile, filtered;;Eppendorf;Eppendorf;0030078543;0030078543;K196243K;;C75;7.1;ul;100;sterile & filtered;Hand pipette;tip box;10;0.2;1;2;2;in stock;;;;;open;
36;50-100ul Dualfilter T.I.P.S. ,sterile, filtered;;Eppendorf;Eppendorf;0030078578;0030078578;K198171N;;C75;7.1;ul;100;sterile & filtered;Hand pipette;tip box;10;0.4;1;4;4;in stock;;;;;open;
38;100uL Tips, filtered;;;;;;;;C75;4.1;ul;100;filtered;Hand pipette;tip box;1;2;1;2;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
39;1000uL Tips, filtered;;Axygen;Axygen;;;;;C75;4.1;ul;1000;filtered;Hand pipette;tip box;1;8;1;8;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
40;200uL Tips, PCR clean, refill;;Sarstedt;Sarstedt;70.3030.100;70.3030.100;;;C75;4.1;ul;200;pure;Hand pipette;tip box;5;1;1;5;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
41;200uL TipOne Tips, PCR clean, refill;;Starlab;Starlab;S111-0706;S111-0706;;;C75;4.1;ul;200;sterile & filtered;Hand pipette;tip box;10;2;1;20;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
42;200uL TipOne Tips, graduated, filtered, sterile, refill;;Starlab;Starlab;S1120-8810;S1120-8810;;;C75;4.1;ul;200;sterile;Hand pipette;tip box;10;1;1;10;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
43;1250uL Tips XL, PCR clean, refill;;Sarsted;Sarsted;70.3060.100;70.3060.100;;;C75;4.1;ul;1250;pure;Hand pipette;tip box;5;1;1;5;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
44;300uL Tips, graduated, sterile, filtered;;Starlab;Starlab;S1120-9810;S1120-9810;C112215J-2216;;C75;4.1;ul;300;sterile & filtered;Hand pipette;tip box;1;1;1;1;0;in stock;;;;;don't reorder! Use the Jetbiofil tips!;
45;10uL Tips, PCR clean, refill;;Sarstedt;Sarstedt;70.3010.100;70.3010.100;;;C75;4.1;ul;10;pure;Hand pipette;tip box;5;1;1;5;5;in stock;;;;;;
46;30uL Automation Tips for Prime Liquid Handler, single, non-filtered, non-sterile;;HighRes Biosolutions;HighRes Biosolutions;1076344;1076344;501C9-5004;;C75;2.2;ul;30;pure;MCA384;tip box;10;1.2;1;12;10;in stock;;;;;all open and used for Prime commissioning and SAT;
47;1000ul tips, filtered, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00006;991-00006;;;C75;2.1;ul;1000;filtered;LiHa;tip box;50;1;1;50;50;in stock;;;;;;
48;1000ul tips, filtered, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00006;991-00006;;;C75;1.1;ul;1000;filtered;LiHa;tip box;50;1;1;50;50;in stock;;;;;;
49;1000ul tips, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00005;991-00005;201017-1117;;C75;1.5;ul;1000;pure;LiHa;tip box;48;2.041666667;1;98;98;in stock;;;;;2 single boxes;
50;300ul tips, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;999-00015;999-00015;20102-1126;;C75;1.6;ul;300;pure;LiHa;tip box;96;1.03125;1;99;99;in stock;;;;;open, 3 single boxes;
51;20ul tips, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00010;991-00010;;;C75;1.2;ul;20;pure;LiHa;tip box;50;1.02;1;51;51;in stock;;;;;1 single box;
52;20ul tips, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00014;991-00014;200803-1129;;C75;1.2;ul;20;pure;LiHa;tip box;50;1;1;50;50;in stock;;;;;;
53;20ul tips, RNase/DNase/protease/pyrogen free;;Opentrons;Opentrons;991-00010;991-00010;;;C75;1.6;ul;20;pure;LiHa;tip box;50;1;1;50;50;in stock;;;;;;
54;300ml automation-friendly reservoir, individually wrapped, sterile;;Integra;Integra;6327;6327;99002546;;C75;7.5;ml;300;;MCA96;reservoir;30;2;1;60;60;in stock;;;;;;
55;25mL reagent reservoir;;VWR;;;613-1175;89094-664;;C75;8.2;ml;25;;Hand pipette;reservoir;100;1;1;100;100;in stock;;;;;open (almost full);
56;50mL reagent reservoir;;VWR;Avantor;;613-1184;89094-682;;C75;8.2;ml;50;;Hand pipette;reservoir;100;1;1;100;100;in stock;;;;;open;
57;"Reservoir, single well, 384 bottom, high profile, sterile; (Organoids MG-coating)";;;;;RES-SW384-HP-SI;8218002;22.03.2021;C75;7.5;ml;;;MCA384;reservoir;25;0.84;1;21;21;in stock;;;;;;
58;Reservoir, 96 bottom, single well, high profile, sterile;;Axygen;;;RES-SW96-HP-SI;08921051;30.03.2024;C75;9.5;ml;;;MCA96;reservoir;25;0.24;1;6;6;in stock;;;;;single reservoirs;
59;AxyVoir Reservoir, 96 bottom, single well, high profile, sterile;;Axygen;;;RES-SW96-HP-SI;11321019;22.04.2024;C75;9.5;ml;;;MCA96;reservoir;25;2;1;50;50;in stock;;;;;;
60;300ml automation-friendly reservoir, individually wrapped, sterile;;Integra;Integra;6327;6327;99002184;;C75;7.5;ml;300;;MCA96;reservoir;30;0.233333333;1;7;7;in stock;;;;;single reservoirs;
61;300ml automation-friendly reservoir, individually wrapped, sterile;;Integra;Integra;6327;6327;990028132;;C75;7.5;ml;300;;MCA96;reservoir;30;1.366666667;1;41;41;in stock;;;Focal Biosciences;;1 open;
62;15mL Falcon Tubes;;Starlab;Starlab;E1415-0100;E1415-0100;210107-058;01.07.2024;C75;8.1;ml;15;;Hand pipette;tube;500;1;1;500;500;in stock;;;;;;
63;250ml centrifuge tubes, Plug seal cap, sterile, nonpyrogenic, polypropylen;;Corning;Corning;430776;430776;35424020;19.12.2027;C75;8.3;ml;250;sterile;Hand pipette;tube;6;17;1;102;102;in stock;;;;;;
64;500 ml centrifuge tubes, Plug seal cap, sterile, nonpyrogenic, polypropylen;;Corning;Corning;431123;431123;32024022;15.11.2027;C75;8.3;ml;500;sterile;Hand pipette;tube;6;6;1;36;36;in stock;;;;;;
65;Hirslanden Project - 0.2 mL PCR Tubes, PCR clean;;Eppendorf;Eppendorf;0030 124.332, 951010006;0030 124.332, 951010006;H177125G;28.01.2023;C75;5.3;ml;0.2;;Hand pipette;tube;1000;1;1;1000;1000;in stock;;;;;;
66;1.5mL DNA LoBind Tubes, PCR clean;;Eppendorf;Eppendorf;0030 108.051, 022431021;0030 108.051, 022431021;L203515J;;C75;4.2;ml;1.5;;Hand pipette;tube;250;1;1;250;250;in stock;;;;;;
67;1.5mL DNA LoBind Tubes, PCR clean;;Eppendorf;Eppendorf;0030 108.051, 022431021;0030 108.051, 022431021;I183312J;;C75;4.2;ml;1.5;;Hand pipette;tube;50;1;3;150;150;in stock;;;;;all open;
68;Invitrogen Qubit Assay Tubes, Ruef;;Thermo;Thermo;Q32856;Q32856;I3020;;C75;5.4;;;;Hand pipette;tube;500;1;1;500;500;in stock;;;;;;
69;Covaris g-Tube;;Covaris;Covaris;520079;520079;;;;5;;;;Hand pipette;tube;10;1;0.6;6;6;in stock;;;;;open;
70;1.5ml Safe-Lock Tubes;;Eppendorf;Eppendorf;0030 120.086;0030 120.086;K196025J;28.04.2029;C75;4.2;ml;1.5;;Hand pipette;tube;500;1;2;1000;1000;in stock;;;;;1 open;
71;1.5ml Safe-Lock Tubes;;Eppendorf;Eppendorf;0030 120.086;0030 120.086;L202814I;28.03.2030;C75;4.2;ml;1.5;;Hand pipette;tube;500;1;2;1000;1000;in stock;;;;;;
72;1.7ml MicroTubes Maxymum Recovery, clear;;Axygen;Axygen;MCT-175-L-C;MCT-175-L-C;3516001;;C75;4.2;ml;1.7;;Hand pipette;tube;250;1;2;500;500;in stock;;;;;1 open;
73;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A050319A;;C75;7.6;ml;50;;Hand pipette;tube;25;20;0.75;375;375;in stock;;;;;open;
74;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A090319A;;C75;8.4;ml;50;;Hand pipette;tube;25;20;1;500;500;in stock;;;;;;
75;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A100319A;;C75;8.4;ml;50;;Hand pipette;tube;25;20;1;500;500;in stock;;;;;;
76;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A090319A;;C75;8.6;ml;50;;Hand pipette;tube;25;20;1;500;500;in stock;;;;;open;
77;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A280219A;;C75;8.6;ml;50;;Hand pipette;tube;25;20;1;500;500;in stock;;;;;;
78;50mL Centrifuge Tubes;;Bioswisstec;Bioswisstec;53050;53050;A060319A;;C75;8.5;ml;50;;Hand pipette;tube;25;20;1;500;500;in stock;;;;;;
79;2mL Safe Lock Tubes;;Eppendorf;Eppendorf;0030120.094;0030120.094;K197151K;28.05.2029;C75;4.2;ml;2;;Hand pipette;tube;500;1;1;500;500;in stock;;;;;;
80;15mL Falcon Tubes;;Greiner_ Bio-One;Greiner_ Bio-One;188271;188271;;;C75;8.1;ml;15;;Hand pipette;tube;100;1;3;300;300;in stock;;;;;one bag placed on shelf in SSA;
81;Archiving Srew Cap 13mm;;Sarstedt;Sarstedt;65.643;65.643;;;C75;6.5;mm;13;;Hand pipette;cap;1000;5;0.6;3000;3000;in stock;;;;;1 bag open;
82;5mL tubes, 75x13mm, PP;;Sarstedt;Sarstedt;60.504.010;60.504.010;1040221;;C75;6.5;ml;5;;Hand pipette;tube;1000;2;2;4000;4000;in stock;;;;;2 bags open;
83;2mL Deep Well Plates, 96 square well, dual-barcoded, sterile;;Axygen;Axygen;391-04-071, P-2ml-SQ-C-2BC-S;391-04-071, P-2ml-SQ-C-2BC-S;25513000;;C75;9.2;ml;2;sterile;MCA96;plate;5;1;60;300;300;in stock;;;;;very old;
84;Costar Assay Plate 96 Well, flat bottom, culture treated, with lid, barcoded, sterile;Costar;Corning;Corning;8973BC;8973BC;24013024;27.08.2016;C75;9.1;;;sterile;MCA96;plate;20;1;1;20;20;in stock;;;;;used for Bacterial OD Readout, reserved for Leons Masters project;
85;Cell Culture Microplate 384 Well, PS, F-bottom, black, lid, sterile;;Greiner bio-one;Greiner bio-one;781090;781090;E20093KH;07.09.2024;C75;9.5;;;sterile;MCA384;plate;20;1;0.9;18;18;in stock;;;;;open;
86;PCR plate, 96 well, white, Low-profile, half-skirted, Lightcycler Type, 0.1mL, Ruef;;VWR;VWR;732-3496;732-3496;21104;01.02.2026;C75;5.4;ml;0.1;;MCA96;plate;10;1;1.2;12;12;in stock;;;;;2 from other package;
87;Ruef Mutagenomics - PCR MICROPLATE, 384 well pcr microplate, white, for Roche 480 light cycler;;Axygen;Axygen;PCR-384-LC480-W-NF;PCR-384-LC480-W-NF;24321000;;C75;5.4;;;;MCA384;plate;10;1;0.8;8;8;in stock;;;;;open;
88;Costar assay plate 96 well, clear round bottom, with lid, non-treated, sterile;Costar;Corning;Corning;;;8917044;29.03.2020;C75;9.1;;;sterile;MCA96;plate;20;1;1;20;20;in stock;;;;;open;
89;Wolfrum LentiTF Livrary - Microplate 384 Well, co, small volume, lobase, uclear, black, med. binding;;Greiner bio-one;Greiner bio-one;788876;788876;E160434J;;C75;5.4;;;;MCA384;plate;80;1;0.8625;69;69;in stock;;;;;open;
90;Lid for Microplate, PS, low profile, crystal-clear, sterile;;Greiner bio-one;Greiner bio-one;656191;656191;E21103CW;07.08.2024;C75;9.5;;;sterile;;lid;20;10;0.7;140;140;in stock;;;;;open;
91;Thermo AB Fisher Deep Well round bottom plates;Abgene;Thermo;Thermo;;;;;C75;9.1;;;;;plate;1;13;1;13;13;in stock;;;;;;
92;NEXUS CRISPR - Twin.tec PCR Plate 96, skirted, blue;Twin.tec;Eppendorf;Eppendorf;0030128.672;0030128.672;K200700R;28.12.2026;C75;9.1;;;;MCA96;plate;25;2;1;50;50;in stock;;;;;;
93;Twin.tec PCR Plate 384 LoBind, 45uL;Twin.tec;Eppendorf;Eppendorf;0030129.547;0030129.547;H176912H;28.02.2023;C75;9.5;ul;45;;MCA384;plate;25;1;0.8;20;20;in stock;;;;;open;
94;Microplate 384 Well, PS, F-bottom, lumitrac, med binding, white;;Greiner bio-one;Greiner bio-one;781075;781075;E16063NQ;;C75;9.1;;;;MCA384;plate;10;4;0.5;20;20;in stock;;;;;open;
95;Lid Ultra Low Profile, PS, clear, 127/85 MM, sterile;;Greiner bio-one;Greiner bio-one;691161;691161;E1602386;;C75;9.5;;;sterile;;lid;5;20;0.65;65;65;in stock;;;;;open;
96;Microplate, 96 Well,PS, F-bottom (chimney well), white, lumitrac, med binding;;Greiner bio-one;Greiner bio-one;655075;655075;E18083M6;;C75;9.1;;;;MCA96;plate;10;3;0.966666667;29;29;in stock;;;;;1 open;
97;Microplate 96 Well, PS, F-bottom (chimney well), black, fluotrac, med binding;;Greiner bio-one;Greiner bio-one;655076;655076;E190438W;;C75;9.1;;;;MCA96;plate;10;2;1;20;20;in stock;;;;;;
98;Cellstar cell culture multiwell plate, 24well, sterile;;Greiner bio-one;Greiner bio-one;662102;662102;E15093HP;2020-09;C75;9.4;;;sterile;Hand pipette;plate;1;4;1;4;4;in stock;;;;;;
99;Cell culture multiwell plate, 24well, sterile;;Greiner bio-one;Greiner bio-one;662160;662160;E15113G8;2019-11;C75;9.4;;;sterile;Hand pipette;plate;100;1;1;100;100;in stock;;;;;;
100;Cell culture multiwell plate, 6 well, sterile, for suspension culture;;Greiner bio-one;Greiner bio-one;657185;657185;E24073FR;07.07.2029;C75;9.4;;;sterile;Hand pipette;plate;100;1;1;100;100;in stock;;;;;open;
101;Cell culture multiwell plate, 48 well, for suspension culture, sterile;;Greiner bio-one;Greiner bio-one;677102;677102;E15113EL;2020-11;C75;9.3;;;sterile;Hand pipette;plate;100;1;1;100;100;in stock;;;;;open;
102;Cellstar cell culture multiwell plate, 48 well, sterile;;Greiner bio-one;Greiner bio-one;677180;677180;E1511339;2019-11;C75;9.3;;;sterile;Hand pipette;plate;100;1;1;100;100;in stock;;;;;;
103;Cell culture multiwell plate, 48 well, sterile;;Greiner bio-one;Greiner bio-one;677102;677102;E16083BP;31.07.2021;C75;9.3;;;sterile;Hand pipette;plate;100;1;1;100;100;in stock;;;;;open (almost full);
104;Microplate 96 Well, PP, V-bottom, sterile;;Greiner bio-one;Greiner bio-one;651261;651261;E20103BA;24.09.2025;C75;9.3;;;sterile;MCA96;plate;10;10;0.9;90;90;in stock;;;;;open;
105;"MICROPLATTE, 384 WELL, PS, F-BODEN, µCLEAR®,
SCHWARZ, MED. BINDING, 10 ST./BTL.";;Greiner bio-one;Greiner bio-one;781096;781096;E24033L3;04.03.2028;C75;9.5;;;sterile;MCA384;plate;10;1;1;10;32;low;;;;;NEXUS HRB MC02034 SAT;
106;HTS Transwell-96 Well Plate, with barcode, lid, receiver plate, tissue culture treated, PS, 3.0um polycarbonate membrane;;Corning;Corning;3386;3386;22421021;11.08.2024;C75;9.1;um;3;sterile;MCA96;plate;4;8;1;32;32;in stock;;;;;open;
107;CytoOne 96-Well Plate with Lid, flat bottom, non-treated, PS, sterile, individually wrapped;;Starlab;Starlab;CC7672-7596;CC7672-7596;2322102;;C75;9.1;;;sterile;MCA96;plate;50;1;1;50;50;in stock;;;;;;
108;C-Slide Cell Counting Chamber Slides;;NanoEntek;D-BIOL shop;;;2C21222B;21.08.2026;C75;7.4;;;;Hand pipette;cell culture consumable;50;1;3;150;50;in stock;;;;;D-BioL Shop, Witec, C-slides;
r;Cell Culture Flask T75cm2, 250mL;;;;658175;658175;E24063FQ;20280610;C75;8.2;cm2;75;sterile;Hand pipette;cell culture consumable;5;18;1;90;20;in stock;;;;;ordered in 2025;
110;Serological_pipette_2mL;;Greiner bio-one;Greiner bio-one;710180;710180;;;C75;7.2;ml;2;sterile;Hand pipette;serological pipette;;;0;0;1;low;;;;;expired;
111;Serological_pipette_25mL;;Greiner bio-one;Greiner bio-one;760180;760180;F210636Q;20260525;C75;7.2;ml;25;sterile;Hand pipette;serological pipette;;4;1;0;0;in stock;;;;;1 open;
112;Serological_pipette_10mL;;Greiner bio-one;Greiner bio-one;607180;607180;F210935S;20260819;C75;7.2;ml;10;sterile;Hand pipette;serological pipette;50;2;1;100;0;in stock;;;;;;
113;Serological_pipette_5mL;;Greiner bio-one;Greiner bio-one;606180;606180;F2110377;20260922;C75;7.2;ml;5;sterile;Hand pipette;serological pipette;;4;1;0;0;in stock;;;;;;
114;Serological_pipette_2mL;;Greiner bio-one;Greiner bio-one;;;;;C75;7.2;ml;2;sterile;Hand pipette;serological pipette;;;;0;0;in stock;;;;;;
115;Serological_pipette_5mL;;Greiner bio-one;Greiner bio-one;;;F2110377;20260922;C75;7.2;ml;5;sterile;Hand pipette;serological pipette;;;1;0;0;in stock;;;;;;
116;Serological_pipette_5mL;;Greiner bio-one;Greiner bio-one;;;F2107369;20260617;C75;7.2;ml;5;sterile;Hand pipette;serological pipette;;;1;0;0;in stock;;;;;;
117;Serological_pipette_5mL;;Greiner bio-one;Greiner bio-one;;;F190535X;20240427;C75;7.2;ml;5;sterile;Hand pipette;serological pipette;;;1;0;0;in stock;;;;;expired;
118;Serological_pipette_25mL;;Sarstedt;Sarstedt;86.1685.001;86.1685.001;3060K;2026-03;C75;7.3;ml;25;sterile;Hand pipette;serological pipette;25;8;0.625;125;125;in stock;;;;;open;
119;Serological_pipette_25mL;;Sarstedt;Sarstedt;86.1685.001;86.1685.001;4243K;2027-08;C75;7.3;ml;25;sterile;Hand pipette;serological pipette;25;8;0.75;150;150;in stock;;;;;open;
